telemetry_id,device_id,timestamp,temperature,humidity,pressure,status,date
TEL-20240802-00438,DEV-0008,2024-08-02T07:45:13Z,32.67,80.34,1034.75,OK,2024-08-02
TEL-20240802-00209,DEV-0031,2024-08-02T23:55:33Z,41.9,42.91,1033.86,OK,2024-08-02
TEL-20240802-00145,DEV-0013,2024-08-02T10:22:38Z,68.47,73.88,991.85,OK,2024-08-02
TEL-20240802-00185,DEV-0016,2024-08-02T06:37:42Z,54.63,48.71,985.56,ERROR,2024-08-02
TEL-20240802-00498,DEV-0007,2024-08-02T05:40:07Z,85.06,83.77,990.99,OK,2024-08-02
TEL-20240802-00034,DEV-0050,2024-08-02T21:41:27Z,58.2,45.93,983.04,ERROR,2024-08-02
TEL-20240802-00010,DEV-0035,2024-08-02T06:16:46Z,86.25,25.35,985.28,OK,2024-08-02
TEL-20240802-00044,DEV-0040,2024-08-02T22:43:45Z,22.01,47.24,1024.51,OK,2024-08-02
TEL-20240802-00187,DEV-0004,2024-08-02T05:09:03Z,68.3,22.57,1039.77,ERROR,2024-08-02
TEL-20240802-00343,DEV-0004,2024-08-02T21:23:25Z,29.39,79.77,1005.87,OK,2024-08-02
TEL-20240802-00178,DEV-0046,2024-08-02T06:56:29Z,24.94,42.69,1025.4,OK,2024-08-02
TEL-20240802-00282,DEV-0035,2024-08-02T14:01:02Z,44.12,43.64,1030.47,WARN,2024-08-02
TEL-20240802-00175,DEV-0050,2024-08-02T09:29:10Z,50.53,62.92,983.82,ERROR,2024-08-02
TEL-20240802-00141,DEV-0031,2024-08-02T18:47:03Z,60.21,38.38,1007.9,WARN,2024-08-02
TEL-20240802-00197,DEV-0048,2024-08-02T06:51:39Z,94.92,48.98,1003.37,ERROR,2024-08-02
TEL-20240802-00125,DEV-0023,2024-08-02T21:29:44Z,69.22,81.8,991.68,OK,2024-08-02
TEL-20240802-00378,DEV-0015,2024-08-02T17:26:18Z,93.84,49.96,1039.97,WARN,2024-08-02
TEL-20240802-00020,DEV-0012,2024-08-02T12:41:24Z,46.13,65.73,1038.48,ERROR,2024-08-02
TEL-20240802-00123,DEV-0007,2024-08-02T03:46:14Z,58.94,33.26,1016.83,OK,2024-08-02
TEL-20240802-00086,DEV-0021,2024-08-02T15:29:55Z,59.62,39.07,1011.14,ERROR,2024-08-02
TEL-20240802-00004,DEV-0013,2024-08-02T23:37:31Z,91.27,45.0,1026.99,OK,2024-08-02
TEL-20240802-00219,DEV-0040,2024-08-02T11:19:21Z,80.94,69.9,1026.96,ERROR,2024-08-02
TEL-20240802-00354,DEV-0041,2024-08-02T21:30:44Z,81.01,46.12,1031.31,OK,2024-08-02
TEL-20240802-00472,DEV-0050,2024-08-02T16:01:07Z,75.02,52.4,1035.03,WARN,2024-08-02
TEL-20240802-00092,DEV-0024,2024-08-02T06:26:56Z,61.16,47.63,991.43,WARN,2024-08-02
TEL-20240802-00337,DEV-0022,2024-08-02T20:45:18Z,54.49,40.29,1046.08,ERROR,2024-08-02
TEL-20240802-00093,DEV-0025,2024-08-02T07:16:05Z,50.51,36.77,1033.52,ERROR,2024-08-02
TEL-20240802-00143,DEV-0013,2024-08-02T17:39:47Z,58.37,36.96,998.64,WARN,2024-08-02
TEL-20240802-00240,DEV-0010,2024-08-02T23:56:31Z,68.66,88.25,989.5,OK,2024-08-02
TEL-20240802-00376,DEV-0030,2024-08-02T03:33:08Z,56.18,45.29,1000.18,OK,2024-08-02
TEL-20240802-00356,DEV-0011,2024-08-02T01:17:23Z,50.3,83.85,1004.92,OK,2024-08-02
TEL-20240802-00408,DEV-0040,2024-08-02T13:59:36Z,73.95,24.19,994.05,WARN,2024-08-02
TEL-20240802-00428,DEV-0011,2024-08-02T22:16:32Z,23.11,49.46,1031.05,ERROR,2024-08-02
TEL-20240802-00380,DEV-0034,2024-08-02T21:43:05Z,27.18,47.64,1028.65,OK,2024-08-02
TEL-20240802-00104,DEV-0034,2024-08-02T03:16:30Z,67.17,33.91,1042.13,OK,2024-08-02
TEL-20240802-00481,DEV-0010,2024-08-02T23:44:28Z,92.22,53.0,1040.19,ERROR,2024-08-02
TEL-20240802-00419,DEV-0010,2024-08-02T03:11:13Z,92.68,50.76,997.8,ERROR,2024-08-02
