transaction_id,customer_id,product_category,amount
TXN-20240602-0001,CUST0028,Automotive,33.88
TXN-20240602-0002,CUST0022,Toys,725.55
TXN-20240602-0003,CUST0030,Groceries,980.81
TXN-20240602-0004,CUST0035,Electronics,907.39
TXN-20240602-0005,CUST0038,Beauty,664.68
TXN-20240602-0006,CUST0006,Toys,140.02
TXN-20240602-0007,CUST0030,Groceries,55.03
TXN-20240602-0008,CUST0025,Books,215.6
TXN-20240602-0009,CUST0021,Books,762.42
TXN-20240602-0010,CUST0025,Home & Garden,753.24
TXN-20240602-0011,CUST0027,Home & Garden,835.73
TXN-20240602-0012,CUST0031,Electronics,750.27
TXN-20240602-0013,CUST0004,Books,228.1
TXN-20240602-0014,CUST0005,Electronics,755.45
TXN-20240602-0015,CUST0016,Sports,840.02
TXN-20240602-0016,CUST0040,Groceries,242.35
TXN-20240602-0017,CUST0031,Clothing,566.14
TXN-20240602-0018,CUST0014,Automotive,700.96
TXN-20240602-0019,CUST0050,Books,171.95
TXN-20240602-0020,CUST0039,Clothing,778.9
TXN-20240602-0021,CUST0011,Home & Garden,112.56
TXN-20240602-0022,CUST0002,Home & Garden,577.91
TXN-20240602-0023,CUST0025,Toys,941.75
TXN-20240602-0024,CUST0013,Clothing,594.13
TXN-20240602-0025,CUST0041,Sports,106.39
TXN-20240602-0026,CUST0050,Home & Garden,851.03
TXN-20240602-0027,CUST0039,Clothing,797.24
TXN-20240602-0028,CUST0037,Electronics,350.46
TXN-20240602-0029,CUST0028,Books,73.61
TXN-20240602-0030,CUST0042,Books,17.59
TXN-20240602-0031,CUST0027,Automotive,110.01
TXN-20240602-0032,CUST0024,Automotive,708.77
TXN-20240602-0033,CUST0028,Groceries,735.12
TXN-20240602-0034,CUST0042,Home & Garden,617.83
TXN-20240602-0035,CUST0035,Automotive,467.54
TXN-20240602-0036,CUST0047,Beauty,272.05
TXN-20240602-0037,CUST0016,Clothing,282.53
TXN-20240602-0038,CUST0029,Sports,751.72
TXN-20240602-0039,CUST0037,Beauty,669.84
TXN-20240602-0040,CUST0022,Electronics,496.83
TXN-20240602-0041,CUST0021,Groceries,490.11
TXN-20240602-0042,CUST0023,Home & Garden,343.63
TXN-20240602-0043,CUST0039,Home & Garden,558.01
TXN-20240602-0044,CUST0034,Sports,90.18
TXN-20240602-0045,CUST0047,Toys,491.13
TXN-20240602-0046,CUST0049,Sports,692.15
TXN-20240602-0047,CUST0042,Automotive,450.93
TXN-20240602-0048,CUST0002,Clothing,297.76
TXN-20240602-0049,CUST0026,Sports,309.67
TXN-20240602-0050,CUST0038,Books,475.89
TXN-20240602-0051,CUST0034,Books,428.37
TXN-20240602-0052,CUST0048,Health,334.13
TXN-20240602-0053,CUST0045,Automotive,274.56
TXN-20240602-0054,CUST0017,Sports,125.05
TXN-20240602-0055,CUST0013,Books,123.96
TXN-20240602-0056,CUST0035,Groceries,195.58
TXN-20240602-0057,CUST0048,Automotive,280.11
TXN-20240602-0058,CUST0038,Health,598.8
TXN-20240602-0059,CUST0007,Sports,299.76
TXN-20240602-0060,CUST0024,Groceries,305.75
TXN-20240602-0061,CUST0046,Health,130.95
TXN-20240602-0062,CUST0003,Electronics,555.59
TXN-20240602-0063,CUST0045,Groceries,639.67
TXN-20240602-0064,CUST0049,Automotive,107.07
TXN-20240602-0065,CUST0001,Beauty,287.91
TXN-20240602-0066,CUST0031,Automotive,344.0
TXN-20240602-0067,CUST0004,Home & Garden,941.35
TXN-20240602-0068,CUST0031,Clothing,823.0
TXN-20240602-0069,CUST0026,Automotive,78.71
TXN-20240602-0070,CUST0041,Electronics,155.97
TXN-20240602-0071,CUST0037,Home & Garden,89.75
TXN-20240602-0072,CUST0016,Clothing,560.28
TXN-20240602-0073,CUST0027,Beauty,598.14
TXN-20240602-0074,CUST0040,Sports,776.81
TXN-20240602-0075,CUST0025,Automotive,908.95
TXN-20240602-0076,CUST0020,Beauty,990.07
TXN-20240602-0077,CUST0020,Beauty,622.92
TXN-20240602-0078,CUST0040,Clothing,947.84
TXN-20240602-0079,CUST0014,Sports,268.32
TXN-20240602-0080,CUST0006,Groceries,243.66
TXN-20240602-0081,CUST0036,Clothing,160.75
TXN-20240602-0082,CUST0027,Automotive,690.92
TXN-20240602-0083,CUST0031,Home & Garden,37.48
TXN-20240602-0084,CUST0019,Home & Garden,704.47
TXN-20240602-0085,CUST0030,Clothing,688.94
TXN-20240602-0086,CUST0017,Beauty,662.87
TXN-20240602-0087,CUST0013,Toys,119.2
TXN-20240602-0088,CUST0015,Groceries,908.86
TXN-20240602-0089,CUST0010,Clothing,64.34
TXN-20240602-0090,CUST0020,Beauty,750.21
TXN-20240602-0091,CUST0037,Home & Garden,441.95
TXN-20240602-0092,CUST0030,Home & Garden,701.23
TXN-20240602-0093,CUST0018,Health,542.28
TXN-20240602-0094,CUST0029,Clothing,600.04
TXN-20240602-0095,CUST0028,Books,605.69
TXN-20240602-0096,CUST0002,Clothing,232.78
TXN-20240602-0097,CUST0044,Beauty,589.18
TXN-20240602-0098,CUST0002,Home & Garden,578.36
TXN-20240602-0099,CUST0049,Groceries,473.14
TXN-20240602-0100,CUST0042,Automotive,916.48
TXN-20240602-0101,CUST0012,Beauty,438.7
TXN-20240602-0102,CUST0032,Clothing,472.66
TXN-20240602-0103,CUST0027,Books,324.45
TXN-20240602-0104,CUST0007,Groceries,333.15
TXN-20240602-0105,CUST0045,Automotive,291.77
TXN-20240602-0106,CUST0026,Health,41.51
TXN-20240602-0107,CUST0006,Books,256.13
TXN-20240602-0108,CUST0008,Toys,865.58
TXN-20240602-0109,CUST0001,Health,464.66
TXN-20240602-0110,CUST0004,Sports,520.84
TXN-20240602-0111,CUST0040,Automotive,627.28
TXN-20240602-0112,CUST0049,Electronics,207.54
TXN-20240602-0113,CUST0036,Groceries,928.03
TXN-20240602-0114,CUST0029,Automotive,125.82
TXN-20240602-0115,CUST0041,Beauty,800.31
TXN-20240602-0116,CUST0046,Groceries,314.19
TXN-20240602-0117,CUST0001,Health,410.95
TXN-20240602-0118,CUST0015,Clothing,464.14
TXN-20240602-0119,CUST0008,Groceries,500.88
TXN-20240602-0120,CUST0046,Home & Garden,511.32
TXN-20240602-0121,CUST0018,Toys,835.54
TXN-20240602-0122,CUST0031,Sports,459.5
TXN-20240602-0123,CUST0010,Toys,194.66
TXN-20240602-0124,CUST0039,Health,747.55
TXN-20240602-0125,CUST0009,Clothing,279.86
TXN-20240602-0126,CUST0027,Books,934.57
TXN-20240602-0127,CUST0033,Home & Garden,821.44
TXN-20240602-0128,CUST0019,Home & Garden,838.28
TXN-20240602-0129,CUST0038,Automotive,865.93
TXN-20240602-0130,CUST0029,Health,486.91
TXN-20240602-0131,CUST0022,Health,764.05
TXN-20240602-0132,CUST0025,Automotive,933.18
TXN-20240602-0133,CUST0013,Sports,573.93
TXN-20240602-0134,CUST0015,Toys,48.43
TXN-20240602-0135,CUST0048,Automotive,706.69
TXN-20240602-0136,CUST0025,Toys,988.46
TXN-20240602-0137,CUST0042,Groceries,497.85
TXN-20240602-0138,CUST0003,Groceries,504.77
TXN-20240602-0139,CUST0038,Books,870.34
TXN-20240602-0140,CUST0029,Clothing,528.32
TXN-20240602-0141,CUST0030,Electronics,723.82
TXN-20240602-0142,CUST0027,Groceries,79.45
TXN-20240602-0143,CUST0017,Books,625.14
TXN-20240602-0144,CUST0026,Clothing,852.5
TXN-20240602-0145,CUST0044,Health,383.11
TXN-20240602-0146,CUST0021,Automotive,873.01
TXN-20240602-0147,CUST0003,Beauty,73.08
TXN-20240602-0148,CUST0041,Home & Garden,997.43
TXN-20240602-0149,CUST0048,Clothing,436.8
TXN-20240602-0150,CUST0007,Clothing,446.46
TXN-20240602-0151,CUST0045,Home & Garden,903.9
TXN-20240602-0152,CUST0003,Books,797.15
TXN-20240602-0153,CUST0019,Books,377.96
TXN-20240602-0154,CUST0010,Sports,533.51
TXN-20240602-0155,CUST0037,Groceries,174.13
TXN-20240602-0156,CUST0006,Beauty,871.48
TXN-20240602-0157,CUST0040,Sports,500.17
TXN-20240602-0158,CUST0038,Groceries,236.03
TXN-20240602-0159,CUST0041,Home & Garden,462.27
TXN-20240602-0160,CUST0043,Electronics,899.4
TXN-20240602-0161,CUST0030,Home & Garden,679.22
TXN-20240602-0162,CUST0011,Clothing,444.52
TXN-20240602-0163,CUST0023,Beauty,302.66
TXN-20240602-0164,CUST0028,Home & Garden,459.55
TXN-20240602-0165,CUST0020,Sports,999.37
TXN-20240602-0166,CUST0031,Clothing,241.02
TXN-20240602-0167,CUST0037,Books,576.93
TXN-20240602-0168,CUST0045,Home & Garden,26.83
TXN-20240602-0169,CUST0043,Toys,278.11
TXN-20240602-0170,CUST0037,Electronics,911.05
TXN-20240602-0171,CUST0048,Automotive,833.67
TXN-20240602-0172,CUST0019,Sports,609.02
TXN-20240602-0173,CUST0023,Sports,638.43
TXN-20240602-0174,CUST0040,Home & Garden,679.37
TXN-20240602-0175,CUST0047,Groceries,630.1
TXN-20240602-0176,CUST0041,Electronics,312.39
TXN-20240602-0177,CUST0029,Electronics,581.67
TXN-20240602-0178,CUST0047,Groceries,94.68
TXN-20240602-0179,CUST0019,Books,748.74
TXN-20240602-0180,CUST0012,Sports,136.5
TXN-20240602-0181,CUST0035,Books,533.19
TXN-20240602-0182,CUST0018,Groceries,260.68
TXN-20240602-0183,CUST0031,Home & Garden,747.82
TXN-20240602-0184,CUST0022,Clothing,470.99
TXN-20240602-0185,CUST0005,Groceries,755.37
TXN-20240602-0186,CUST0015,Toys,967.42
TXN-20240602-0187,CUST0036,Books,94.85
TXN-20240602-0188,CUST0026,Electronics,268.13
TXN-20240602-0189,CUST0008,Automotive,371.74
TXN-20240602-0190,CUST0048,Home & Garden,586.63
TXN-20240602-0191,CUST0041,Books,112.8
TXN-20240602-0192,CUST0015,Automotive,29.9
TXN-20240602-0193,CUST0036,Books,915.67
TXN-20240602-0194,CUST0015,Clothing,637.22
TXN-20240602-0195,CUST0030,Home & Garden,650.99
TXN-20240602-0196,CUST0008,Groceries,50.12
TXN-20240602-0197,CUST0003,Home & Garden,995.94
TXN-20240602-0198,CUST0008,Clothing,238.62
TXN-20240602-0199,CUST0035,Groceries,391.7
TXN-20240602-0200,CUST0024,Health,422.03
