order_id,customer_id,order_status,order_amount,order_ts,region
ORD-0050,CUST0042,CANCELLED,205.34,2024-11-25 12:54:00,us-west
ORD-0059,CUST0091,CANCELLED,543.35,2024-12-28 19:11:52,us-east
ORD-0089,CUST0025,CANCELLED,878.5,2024-12-10 01:18:41,ap-south
ORD-0080,CUST0092,CANCELLED,734.9,2024-12-26 23:28:35,ap-south
ORD-0056,CUST0100,CANCELLED,267.75,2024-12-24 11:53:39,ap-south
ORD-0418,CUST0070,DELIVERED,331.41,2024-01-20 19:20:29,us-west
ORD-0078,CUST0022,CANCELLED,157.66,2024-11-16 16:22:40,us-east
ORD-0409,CUST0044,PLACED,681.15,2024-03-04 08:53:00,ca-central
ORD-0058,CUST0090,CANCELLED,564.5,2024-11-20 10:20:28,ap-south
ORD-0413,CUST0010,CANCELLED,14.53,2024-03-23 13:46:38,us-east
ORD-0066,CUST0095,CANCELLED,146.96,2024-12-10 02:13:42,ap-south
ORD-0506,CUST0050,  shipped  ,-10.0,2024-05-30 19:03:18,ca-central
ORD-0401,CUST0068,DELIVERED,321.86,2024-03-24 07:18:05,us-west
ORD-0422,CUST0083,CANCELLED,199.41,2024-02-02 23:16:21,ca-central
ORD-0405,CUST0091,DELIVERED,925.64,2024-03-22 21:22:54,eu-central
ORD-0400,CUST0033,DELIVERED,865.65,2024-03-23 02:01:46,us-east
ORD-0074,CUST0098,CANCELLED,830.39,2024-11-15 05:13:06,us-east
ORD-0077,CUST0031,CANCELLED,268.91,2024-11-14 04:01:43,us-east
ORD-0068,CUST0098,CANCELLED,989.4,2024-12-05 18:19:15,us-east
ORD-0088,CUST0059,CANCELLED,878.46,2024-11-28 13:18:00,ca-central
ORD-0411,CUST0047,CANCELLED,650.69,2024-01-08 15:38:38,us-east
ORD-0417,CUST0050,PLACED,186.56,2024-03-11 20:15:12,ap-south
ORD-0076,CUST0050,CANCELLED,974.71,2024-11-12 00:22:14,us-east
ORD-0407,CUST0076,PLACED,532.43,2024-01-21 14:15:49,ca-central
ORD-0507,CUST0097,  shipped  ,-0.01,2024-04-11 09:51:29,us-east
ORD-0057,CUST0029,CANCELLED,199.77,2024-11-20 21:37:45,us-east
ORD-0065,CUST0032,CANCELLED,226.97,2024-12-22 13:14:46,ap-south
ORD-0071,CUST0039,CANCELLED,535.86,2024-11-15 07:29:22,us-east
ORD-0403,CUST0099,CANCELLED,509.28,2024-03-13 17:51:54,ap-south
ORD-0408,CUST0082,SHIPPED,278.23,2024-01-12 15:22:35,us-west
ORD-0070,CUST0084,CANCELLED,476.8,2024-11-06 10:23:13,us-east
ORD-0410,CUST0049,PLACED,880.93,2024-02-26 14:14:24,eu-central
ORD-0412,CUST0058,SHIPPED,500.56,2024-01-05 13:53:07,ca-central
ORD-0055,CUST0043,CANCELLED,328.26,2024-11-18 18:07:38,us-east
ORD-0502,CUST0023,UNKNOWN,0,2024-01-04 13:56:00,eu-central
ORD-0069,CUST0065,CANCELLED,906.06,2024-11-25 20:36:54,ap-south
ORD-0419,CUST0063,CANCELLED,940.39,2024-01-19 10:28:29,ap-south
ORD-0416,CUST0086,PLACED,79.02,2024-02-22 16:56:53,ca-central
ORD-0501,CUST0076,pending,0,2024-09-21 18:29:46,us-east
ORD-0085,CUST0095,CANCELLED,149.91,2024-11-02 19:50:04,us-east
ORD-0423,CUST0083,SHIPPED,261.67,2024-02-04 07:17:32,us-west
ORD-0060,CUST0096,CANCELLED,335.58,2024-11-21 14:04:54,us-east
ORD-0086,CUST0066,CANCELLED,211.99,2024-11-11 14:39:44,us-east
ORD-0509,CUST0073,  shipped  ,-0.01,2024-01-08 22:26:20,ca-central
ORD-0512,CUST0058,returned,-10.0,2024-09-28 08:04:59,us-west
ORD-0424,CUST0045,SHIPPED,832.98,2024-01-16 08:24:08,ca-central
ORD-0404,CUST0033,CANCELLED,970.72,2024-03-25 07:48:28,ca-central
ORD-0087,CUST0022,CANCELLED,117.4,2024-12-12 06:42:20,ap-south
ORD-0064,CUST0097,CANCELLED,586.69,2024-12-10 05:33:21,ca-central
ORD-0083,CUST0037,CANCELLED,459.2,2024-11-27 19:43:31,us-west
ORD-0073,CUST0001,CANCELLED,71.58,2024-12-26 21:12:23,ap-south
ORD-0082,CUST0080,CANCELLED,420.86,2024-12-16 18:34:40,ca-central
ORD-0508,CUST0037,Delivered,0,2024-06-19 08:32:10,ca-central
ORD-0503,CUST0056,Delivered,0,2024-07-21 10:27:54,ca-central
ORD-0084,CUST0076,CANCELLED,491.64,2024-11-02 18:38:44,us-east
ORD-0504,CUST0089,Delivered,0,2024-06-04 08:52:19,us-east
ORD-0514,CUST0012,UNKNOWN,0,2024-12-08 20:18:23,eu-central
ORD-0505,CUST0046,  shipped  ,-0.01,2024-07-02 14:15:11,ap-south
ORD-0081,CUST0065,CANCELLED,275.12,2024-12-18 12:39:54,us-east
ORD-0513,CUST0064,returned,-10.0,2024-08-12 03:14:15,eu-central
ORD-0406,CUST0014,SHIPPED,146.19,2024-03-06 13:11:11,us-east
ORD-0510,CUST0043,pending,0,2024-12-18 00:34:50,eu-central
ORD-0051,CUST0038,CANCELLED,481.47,2024-11-12 04:06:54,ca-central
