order_id,customer_id,order_status,order_amount,order_ts,region
ORD-0241,CUST0092,SHIPPED,29.01,2024-07-18 09:06:21,eu-central
ORD-0214,CUST0084,PLACED,152.78,2024-08-12 18:56:33,us-east
ORD-0237,CUST0036,CANCELLED,182.87,2024-07-23 10:29:19,ca-central
ORD-0011,CUST0097,DELIVERED,570.21,2024-10-29 07:18:35,us-east
ORD-0230,CUST0084,SHIPPED,680.79,2024-08-16 11:49:01,ap-south
ORD-0226,CUST0080,PLACED,55.39,2024-07-05 07:30:16,ca-central
ORD-0206,CUST0085,CANCELLED,873.79,2024-09-29 12:51:23,ca-central
ORD-0238,CUST0041,PLACED,106.53,2024-08-20 22:03:27,eu-central
ORD-0231,CUST0066,PLACED,912.06,2024-08-06 23:05:31,ap-south
ORD-0256,CUST0089,DELIVERED,972.95,2024-07-09 02:35:26,eu-central
ORD-0227,CUST0046,PLACED,63.96,2024-09-24 00:25:41,ap-south
ORD-0270,,CANCELLED,608.53,2024-01-07 09:13:01,us-east
ORD-0266,CUST0041,PLACED,624.79,2024-08-28 10:41:48,ca-central
ORD-0012,CUST0057,DELIVERED,981.42,2024-10-29 17:51:04,us-east
ORD-0205,CUST0082,SHIPPED,395.09,2024-07-19 21:19:27,us-east
ORD-0272,,PLACED,886.13,2024-04-29 22:26:01,us-west
ORD-0202,CUST0093,CANCELLED,143.7,2024-08-27 13:04:10,us-west
ORD-0236,CUST0091,SHIPPED,579.13,2024-07-30 19:13:06,eu-central
ORD-0268,CUST0073,CANCELLED,209.67,2024-07-18 22:17:45,us-west
ORD-0002,CUST0034,DELIVERED,232.86,2024-11-02 22:57:01,ca-central
ORD-0203,CUST0072,SHIPPED,138.13,2024-08-27 09:09:39,ap-south
ORD-0215,CUST0014,PLACED,35.85,2024-07-30 02:01:13,ap-south
ORD-0224,CUST0089,DELIVERED,442.17,2024-09-29 21:55:09,us-west
ORD-0007,CUST0033,DELIVERED,167.71,2024-10-06 11:06:08,ap-south
ORD-0229,CUST0034,CANCELLED,75.96,2024-07-11 01:25:16,eu-central
ORD-0239,CUST0051,SHIPPED,598.47,2024-08-20 18:09:04,ap-south
ORD-0242,CUST0099,CANCELLED,940.96,2024-07-23 08:40:31,ap-south
ORD-0228,CUST0049,DELIVERED,955.0,2024-07-16 16:40:19,us-west
ORD-0001,CUST0084,DELIVERED,297.64,2024-12-09 02:26:29,ap-south
ORD-0220,CUST0028,PLACED,960.79,2024-09-04 11:00:22,eu-central
ORD-0212,CUST0046,PLACED,263.76,2024-08-16 12:41:03,ap-south
ORD-0243,CUST0043,SHIPPED,623.57,2024-08-07 15:50:37,ca-central
ORD-0219,CUST0024,SHIPPED,558.73,2024-07-17 15:54:14,ca-central
ORD-0208,CUST0021,CANCELLED,280.86,2024-07-31 07:25:23,us-east
ORD-0261,CUST0059,DELIVERED,590.29,2024-07-28 10:46:30,us-west
ORD-0004,CUST0042,DELIVERED,873.83,2024-11-08 20:01:08,ca-central
ORD-0274,,CANCELLED,533.64,2024-02-21 13:25:16,eu-central
ORD-0276,,PLACED,49.79,2024-01-17 02:04:36,us-west
ORD-0015,CUST0089,DELIVERED,513.35,2024-10-05 04:23:24,ca-central
ORD-0013,CUST0025,DELIVERED,821.94,2024-10-26 05:45:04,ap-south
ORD-0252,CUST0078,DELIVERED,724.52,2024-09-04 08:00:22,us-east
ORD-0263,CUST0019,CANCELLED,123.2,2024-07-14 01:22:21,eu-central
ORD-0210,CUST0040,PLACED,721.12,2024-08-05 10:44:18,us-east
ORD-0222,CUST0055,PLACED,389.18,2024-07-06 06:20:43,eu-central
ORD-0244,CUST0019,CANCELLED,644.51,2024-09-16 01:13:30,ap-south
ORD-0271,,SHIPPED,764.57,2024-03-06 12:54:33,eu-central
ORD-0249,CUST0097,CANCELLED,862.51,2024-09-15 16:35:48,us-west
ORD-0017,CUST0097,DELIVERED,40.43,2024-11-15 05:43:19,us-east
ORD-0234,CUST0064,CANCELLED,680.78,2024-08-08 17:50:06,ca-central
ORD-0260,CUST0038,CANCELLED,464.58,2024-09-26 22:35:18,us-east
ORD-0020,CUST0039,DELIVERED,207.99,2024-10-06 19:18:34,ap-south
ORD-0019,CUST0027,DELIVERED,483.65,2024-10-16 07:23:27,us-west
ORD-0006,CUST0023,DELIVERED,248.73,2024-11-28 18:10:48,ca-central
ORD-0259,CUST0087,CANCELLED,431.23,2024-07-06 21:35:44,ca-central
ORD-0253,CUST0046,CANCELLED,946.87,2024-08-01 14:00:03,us-west
ORD-0278,,DELIVERED,846.53,2024-03-29 08:20:16,ap-south
ORD-0265,CUST0091,SHIPPED,540.18,2024-09-28 23:04:42,eu-central
ORD-0223,CUST0014,SHIPPED,779.79,2024-07-18 07:54:12,us-east
ORD-0216,CUST0012,CANCELLED,245.02,2024-08-09 20:55:53,us-west
ORD-0262,CUST0019,DELIVERED,231.06,2024-07-28 22:04:04,us-east
ORD-0267,CUST0085,DELIVERED,65.38,2024-07-03 19:14:48,us-east
ORD-0008,CUST0084,DELIVERED,912.2,2024-12-17 00:28:19,us-west
ORD-0218,CUST0068,PLACED,747.86,2024-07-11 11:17:03,us-west
ORD-0201,CUST0006,PLACED,831.42,2024-07-19 04:41:47,ca-central
ORD-0207,CUST0063,CANCELLED,119.33,2024-09-27 15:20:43,ca-central
ORD-0248,CUST0026,CANCELLED,805.01,2024-07-06 09:11:26,us-east
ORD-0251,CUST0070,PLACED,423.38,2024-08-10 11:40:07,us-west
ORD-0264,CUST0087,CANCELLED,232.19,2024-08-08 09:45:06,ap-south
ORD-0269,CUST0090,SHIPPED,878.49,2024-07-08 08:14:35,us-east
ORD-0204,CUST0084,SHIPPED,512.44,2024-07-12 18:34:01,eu-central
ORD-0232,CUST0060,SHIPPED,883.99,2024-07-07 02:06:19,eu-central
ORD-0250,CUST0007,DELIVERED,460.79,2024-07-14 21:45:31,us-east
ORD-0277,,SHIPPED,409.1,2024-05-08 02:11:18,eu-central
ORD-0018,CUST0018,DELIVERED,477.34,2024-12-22 07:01:59,us-east
ORD-0273,,PLACED,96.55,2024-02-11 19:21:14,us-east
ORD-0010,CUST0087,DELIVERED,122.21,2024-12-02 21:42:47,ap-south
ORD-0217,CUST0087,CANCELLED,514.72,2024-07-29 23:02:13,eu-central
ORD-0245,CUST0084,DELIVERED,23.12,2024-07-01 12:32:22,ap-south
ORD-0213,CUST0041,DELIVERED,702.57,2024-08-18 08:17:44,ap-south
ORD-0257,CUST0065,PLACED,947.79,2024-08-23 14:57:10,eu-central
ORD-0221,CUST0023,DELIVERED,887.84,2024-07-20 07:56:28,eu-central
ORD-0254,CUST0042,DELIVERED,912.22,2024-08-28 20:00:56,ap-south
ORD-0016,CUST0002,DELIVERED,747.83,2024-11-28 23:08:12,us-east
ORD-0279,,DELIVERED,579.33,2024-05-23 18:28:36,us-east
ORD-0275,,DELIVERED,830.43,2024-06-10 01:57:16,ca-central
ORD-0240,CUST0082,PLACED,482.55,2024-08-24 15:45:47,us-east
ORD-0014,CUST0036,DELIVERED,433.31,2024-12-21 05:40:43,ap-south
ORD-0247,CUST0031,CANCELLED,640.96,2024-08-04 20:13:32,us-east
ORD-0211,CUST0079,SHIPPED,146.85,2024-08-21 11:27:46,us-east
ORD-0003,CUST0024,DELIVERED,251.93,2024-10-03 15:20:40,us-east
ORD-0009,CUST0033,DELIVERED,866.95,2024-11-23 13:22:00,eu-central
ORD-0246,CUST0095,DELIVERED,772.72,2024-08-23 07:34:08,ca-central
ORD-0233,CUST0036,DELIVERED,141.5,2024-08-22 10:28:58,ap-south
ORD-0255,CUST0088,CANCELLED,80.58,2024-08-27 11:59:02,ap-south
ORD-0225,CUST0043,PLACED,377.48,2024-09-17 20:39:16,us-east
ORD-0005,CUST0022,DELIVERED,699.85,2024-12-03 12:29:38,us-east
ORD-0209,CUST0095,SHIPPED,482.41,2024-07-10 12:39:59,us-east
ORD-0200,CUST0054,SHIPPED,428.84,2024-07-16 09:40:34,ap-south
ORD-0258,CUST0031,PLACED,513.89,2024-07-11 00:23:00,us-west
ORD-0235,CUST0071,SHIPPED,442.41,2024-08-20 22:41:06,ca-central
