product_id,product_name,category,price
1,Smart Kit 1,Clothing,52.5
2,Elite Module 2,Automotive,67.48
3,Lite Module 3,Health,21.34
4,Max Module 4,Sports,719.94
5,Eco Pack 5,Electronics,616.73
6,Smart Module 6,Toys,191.37
7,Pro Unit 7,Books,72.33
8,Max Unit 8,Health,787.47
9,Max Unit 9,Electronics,393.49
10,Lite Gadget 10,Toys,981.12
11,Eco Gadget 11,Books,789.57
12,Premium Tool 12,Clothing,772.63
13,Premium Device 13,Electronics,355.53
14,Premium Device 14,Automotive,980.91
15,Lite Device 15,Groceries,67.78
16,Lite Gadget 16,Home & Garden,205.57
17,Smart Gadget 17,Books,933.69
18,Max Pack 18,Health,476.02
19,Ultra Tool 19,Home & Garden,360.18
20,Ultra Set 20,Home & Garden,128.84
21,Premium Pack 21,Toys,744.58
22,Elite Set 22,Groceries,498.71
23,Lite Set 23,Health,270.38
24,Pro Pack 24,Clothing,433.44
25,Mega Unit 25,Home & Garden,324.6
26,Pro Set 26,Home & Garden,309.95
27,Mini Pack 27,Groceries,691.31
28,Premium Bundle 28,Electronics,728.17
29,Premium Module 29,Toys,278.17
30,Ultra Widget 30,Toys,366.48
31,Mega Gadget 31,Groceries,849.42
32,Lite Gadget 32,Groceries,71.89
33,Premium Set 33,Toys,949.71
34,Ultra Module 34,Groceries,680.66
35,Premium Set 35,Automotive,764.26
36,Mini Device 36,Health,370.11
37,Premium Kit 37,Sports,960.71
38,Ultra Device 38,Automotive,520.15
39,Max Widget 39,Home & Garden,776.08
40,Lite Tool 40,Beauty,289.14
41,Lite Tool 41,Clothing,140.04
42,Pro Bundle 42,Groceries,899.18
43,Lite Widget 43,Books,669.49
44,Pro Unit 44,Health,293.9
45,Eco Device 45,Groceries,794.72
46,Max Tool 46,Clothing,985.2
47,Mega Tool 47,Automotive,31.14
48,Max Module 48,Books,470.06
49,Max Device 49,Beauty,884.82
50,Pro Kit 50,Toys,999.59
51,Lite Unit 51,Toys,770.31
52,Mini Widget 52,Groceries,972.51
53,Pro Bundle 53,Automotive,681.7
54,Premium Device 54,Health,641.58
55,Mega Device 55,Toys,505.34
56,Ultra Widget 56,Health,157.24
57,Mega Device 57,Books,935.05
58,Smart Set 58,Health,895.44
59,Pro Kit 59,Sports,636.87
60,Max Kit 60,Groceries,626.89
61,Mini Unit 61,Clothing,505.05
62,Mega Module 62,Beauty,158.41
63,Mini Module 63,Books,843.31
64,Mini Gadget 64,Electronics,85.81
65,Mini Kit 65,Sports,768.11
66,Elite Module 66,Electronics,500.54
67,Max Kit 67,Home & Garden,485.52
68,Elite Kit 68,Automotive,77.6
69,Ultra Device 69,Automotive,418.53
70,Lite Tool 70,Books,608.62
71,Premium Set 71,Books,975.49
72,Mega Set 72,Health,563.83
73,Premium Tool 73,Automotive,126.9
74,Lite Tool 74,Groceries,101.32
75,Eco Pack 75,Beauty,421.03
76,Mega Set 76,Beauty,722.51
77,Smart Device 77,Automotive,995.98
78,Lite Bundle 78,Home & Garden,499.87
79,Pro Pack 79,Health,459.93
80,Smart Tool 80,Beauty,356.12
81,Ultra Kit 81,Automotive,599.52
82,Lite Kit 82,Health,13.13
83,Pro Pack 83,Groceries,883.03
84,Premium Pack 84,Books,50.01
85,Ultra Module 85,Health,198.67
86,Max Kit 86,Clothing,389.41
87,Lite Unit 87,Home & Garden,826.17
88,Mini Module 88,Clothing,133.01
89,Pro Pack 89,Books,795.91
90,Premium Unit 90,Books,756.18
91,Smart Module 91,Health,404.37
92,Ultra Gadget 92,Electronics,141.34
93,Premium Bundle 93,Health,459.69
94,Mini Unit 94,Groceries,331.32
95,Mini Set 95,Groceries,395.98
96,Mini Kit 96,Beauty,339.68
97,Max Unit 97,Automotive,710.19
98,Eco Bundle 98,Electronics,371.51
99,Pro Pack 99,Beauty,311.13
100,Ultra Module 100,Automotive,269.19
101,Mini Module 101,Sports,722.78
102,Mini Bundle 102,Groceries,526.6
103,Mini Pack 103,Groceries,822.54
104,Smart Gadget 104,Beauty,948.45
105,Pro Tool 105,Electronics,443.82
106,Elite Device 106,Toys,692.04
107,Elite Unit 107,Beauty,920.91
108,Ultra Device 108,Health,211.29
109,Premium Bundle 109,Health,379.93
110,Mega Bundle 110,Health,345.61
111,Premium Kit 111,Beauty,486.75
112,Smart Kit 112,Health,302.0
113,Eco Kit 113,Sports,691.78
114,Lite Set 114,Automotive,352.05
115,Eco Kit 115,Clothing,575.6
116,Max Pack 116,Toys,819.28
117,Mega Kit 117,Electronics,291.18
118,Pro Set 118,Automotive,657.68
119,Lite Tool 119,Sports,828.8
120,Eco Unit 120,Home & Garden,141.58
121,Mini Module 121,Sports,246.24
122,Max Tool 122,Sports,57.22
123,Elite Set 123,Automotive,105.03
124,Mega Gadget 124,Health,978.01
125,Mega Pack 125,Automotive,480.05
126,Smart Kit 126,Books,288.98
127,Ultra Widget 127,Beauty,236.05
128,Ultra Device 128,Toys,882.82
129,Mega Gadget 129,Toys,789.01
130,Mega Kit 130,Electronics,14.21
131,Mini Module 131,Clothing,928.8
132,Premium Kit 132,Automotive,989.14
133,Max Unit 133,Automotive,889.8
134,Mega Unit 134,Automotive,276.46
135,Pro Set 135,Groceries,732.45
136,Eco Device 136,Electronics,737.92
137,Eco Module 137,Sports,179.61
138,Elite Pack 138,Health,331.28
139,Elite Widget 139,Groceries,981.77
140,Lite Set 140,Sports,11.79
141,Elite Tool 141,Automotive,754.98
142,Premium Kit 142,Beauty,724.26
143,Ultra Kit 143,Books,694.29
144,Ultra Widget 144,Automotive,310.26
145,Elite Unit 145,Home & Garden,691.83
146,Eco Set 146,Beauty,224.73
147,Mega Bundle 147,Groceries,457.69
148,Mini Set 148,Toys,703.42
149,Lite Unit 149,Sports,763.04
150,Mini Widget 150,Health,449.5
151,Premium Widget 151,Beauty,116.64
152,Max Unit 152,Sports,574.83
153,Mega Device 153,Books,855.2
154,Lite Widget 154,Sports,718.32
155,Lite Widget 155,Health,448.25
156,Ultra Bundle 156,Groceries,515.67
157,Lite Module 157,Electronics,560.99
158,Eco Gadget 158,Toys,258.17
159,Ultra Tool 159,Beauty,77.65
160,Elite Set 160,Clothing,543.45
161,Ultra Widget 161,Automotive,36.57
162,Elite Device 162,Groceries,766.99
163,Elite Set 163,Toys,451.28
164,Elite Pack 164,Clothing,684.31
165,Max Device 165,Books,123.03
166,Max Pack 166,Health,131.7
167,Smart Gadget 167,Electronics,978.59
168,Lite Unit 168,Toys,534.26
169,Smart Tool 169,Automotive,349.42
170,Eco Tool 170,Clothing,37.05
171,Elite Module 171,Electronics,244.45
172,Pro Widget 172,Beauty,38.4
173,Mini Gadget 173,Sports,741.83
174,Elite Bundle 174,Sports,542.05
175,Ultra Device 175,Health,993.51
176,Smart Module 176,Books,579.58
177,Premium Tool 177,Home & Garden,876.87
178,Max Tool 178,Toys,303.99
179,Ultra Unit 179,Beauty,880.31
180,Mega Pack 180,Health,498.13
181,Premium Pack 181,Health,322.13
182,Elite Pack 182,Groceries,303.38
183,Mega Unit 183,Automotive,244.75
184,Smart Kit 184,Groceries,806.74
185,Ultra Unit 185,Toys,967.94
186,Max Unit 186,Groceries,391.47
187,Eco Tool 187,Books,648.46
188,Lite Set 188,Clothing,537.95
189,Smart Gadget 189,Home & Garden,380.27
190,Mini Module 190,Electronics,874.24
191,Smart Module 191,Health,220.92
192,Smart Set 192,Home & Garden,957.22
193,Ultra Tool 193,Sports,962.26
194,Pro Bundle 194,Sports,697.14
195,Smart Pack 195,Sports,554.31
196,Eco Pack 196,Automotive,535.97
197,Premium Kit 197,Home & Garden,362.84
198,Lite Bundle 198,Clothing,803.79
199,Lite Set 199,Sports,373.84
200,Elite Gadget 200,Beauty,864.75
