order_id,order_date,customer_id,product_id,quantity,amount
151,2024-03-02,256,164,10,146.67
152,2024-01-04,185,82,3,776.74
153,2024-05-25,216,94,9,1367.46
154,2024-04-30,489,198,2,38.3
155,2024-01-18,8,68,4,84.45
156,2024-01-16,486,102,9,576.54
157,2024-05-08,393,107,7,1405.11
158,2024-01-22,328,138,9,1234.01
159,2024-03-12,43,80,2,1025.05
160,2024-02-22,499,40,9,656.86
161,2024-05-30,325,196,2,623.79
162,2024-04-21,374,62,1,492.73
163,2024-04-21,60,117,10,1219.61
164,2024-03-20,342,190,3,243.29
165,2024-06-30,71,180,1,331.84
166,2024-03-29,268,133,5,338.09
167,2024-02-02,384,200,5,1467.2
168,2024-01-31,395,8,6,1615.17
169,2024-03-10,269,17,5,1426.08
170,2024-05-27,322,20,8,913.12
171,2024-04-02,29,128,10,337.93
172,2024-02-10,131,198,2,1789.06
173,2024-06-21,371,30,4,1482.85
174,2024-01-01,23,4,4,96.73
175,2024-04-03,197,39,3,1862.66
176,2024-01-10,284,183,7,452.91
177,2024-03-04,214,185,6,546.16
178,2024-01-20,293,96,2,1006.57
179,2024-01-14,92,58,9,1962.91
180,2024-04-12,36,120,5,1548.18
181,2024-03-20,168,23,9,916.2
182,2024-04-04,103,75,10,1570.08
183,2024-06-08,125,119,6,1185.42
184,2024-05-06,396,199,4,1466.26
185,2024-05-19,390,63,3,17.72
186,2024-04-14,13,60,9,696.11
187,2024-06-26,450,3,6,7.92
188,2024-06-17,193,189,5,212.38
189,2024-05-15,122,108,8,1922.55
190,2024-02-06,365,72,2,92.58
191,2024-02-29,460,134,7,1403.18
192,2024-04-05,235,192,2,1163.63
193,2024-05-09,69,164,7,154.29
194,2024-05-25,32,112,3,477.36
195,2024-03-07,436,81,7,1402.94
196,2024-03-24,163,116,5,471.05
197,2024-02-21,70,200,10,222.4
198,2024-01-28,85,116,8,631.49
199,2024-01-31,275,92,4,906.57
200,2024-04-28,136,31,2,319.44
201,2024-06-24,156,181,10,85.46
202,2024-03-24,76,24,4,1936.95
203,2024-04-11,263,13,5,524.03
204,2024-02-14,16,104,8,1114.12
205,2024-05-20,128,25,8,208.3
206,2024-02-05,63,4,1,1661.58
207,2024-02-26,67,51,7,747.61
208,2024-06-10,481,166,2,1166.73
209,2024-03-07,470,20,1,1994.33
210,2024-02-20,463,166,8,1619.54
211,2024-01-24,464,85,2,90.18
212,2024-04-28,26,44,10,869.14
213,2024-04-11,255,8,7,1368.0
214,2024-02-14,182,55,3,553.59
215,2024-04-24,453,39,1,1230.14
216,2024-06-06,126,166,5,1000.28
217,2024-05-20,246,16,2,563.15
218,2024-02-05,215,52,9,502.05
219,2024-05-19,407,5,7,1564.91
220,2024-04-01,246,140,8,691.34
221,2024-05-24,258,83,7,544.52
222,2024-01-07,164,153,4,63.46
223,2024-03-12,30,121,9,718.08
224,2024-05-29,120,41,2,499.47
225,2024-03-02,137,137,1,1529.27
226,2024-02-26,295,100,6,1870.73
227,2024-02-14,91,61,10,639.42
228,2024-06-27,184,152,1,1408.38
229,2024-03-31,486,146,10,288.49
230,2024-02-18,429,127,9,621.56
231,2024-05-05,20,24,1,469.08
232,2024-02-26,11,135,8,6.36
233,2024-06-06,104,34,6,1435.28
234,2024-03-23,31,6,3,1175.28
235,2024-02-06,397,29,9,1722.03
236,2024-01-19,192,181,7,1174.1
237,2024-03-27,155,83,3,1951.83
238,2024-04-21,406,164,8,1300.11
239,2024-02-14,363,144,10,1575.04
240,2024-02-27,341,151,3,759.87
241,2024-06-25,151,33,3,1459.01
242,2024-06-28,486,147,7,1702.25
243,2024-05-25,17,47,10,639.84
244,2024-06-05,114,164,10,212.7
245,2024-05-07,73,85,2,479.8
246,2024-03-22,86,163,2,1644.21
247,2024-06-20,328,187,6,896.02
248,2024-03-08,108,64,2,704.21
249,2024-01-28,369,1,1,774.94
250,2024-04-17,497,43,7,988.69
251,2024-04-06,180,140,7,207.35
252,2024-05-02,404,148,4,329.5
253,2024-01-19,410,9,5,45.06
254,2024-03-07,488,27,2,686.9
255,2024-04-06,83,188,2,1096.35
256,2024-01-24,174,153,10,1786.98
257,2024-06-29,16,111,3,1216.59
258,2024-04-21,81,14,2,665.53
259,2024-02-18,210,179,9,1445.46
260,2024-05-18,136,170,5,598.31
261,2024-01-25,26,101,10,1101.57
262,2024-05-05,79,14,6,12.61
263,2024-01-23,151,170,10,963.25
264,2024-01-25,14,53,3,1278.18
265,2024-01-21,243,30,5,1570.82
266,2024-04-30,251,170,5,186.82
267,2024-05-19,199,48,6,1771.55
268,2024-04-04,96,115,1,530.27
269,2024-04-29,135,58,5,1130.67
270,2024-02-08,386,179,2,175.99
271,2024-03-29,414,139,7,1941.55
272,2024-05-30,117,142,1,1682.38
273,2024-05-13,215,138,8,1147.56
274,2024-03-01,244,77,2,792.63
275,2024-01-09,258,147,9,1601.89
276,2024-06-22,318,38,2,1898.75
277,2024-04-24,89,43,4,1617.87
278,2024-02-02,22,109,2,1976.61
279,2024-04-21,104,161,3,1669.04
280,2024-03-07,164,187,2,178.62
281,2024-05-22,204,142,6,1713.96
282,2024-05-13,235,4,10,1177.21
283,2024-04-17,58,107,3,300.66
284,2024-05-30,299,195,2,1850.22
285,2024-05-24,400,26,5,1735.6
286,2024-03-29,450,106,5,769.17
287,2024-05-04,293,156,8,79.74
288,2024-03-11,207,37,10,1219.26
289,2024-06-26,206,10,7,1779.69
290,2024-03-25,354,61,1,1492.76
291,2024-03-09,460,96,1,679.04
292,2024-03-18,160,72,8,1717.17
293,2024-06-24,51,59,3,604.46
294,2024-04-23,397,83,5,1458.95
295,2024-06-03,331,23,4,886.22
296,2024-04-14,380,125,9,1735.03
297,2024-01-15,264,41,2,625.69
298,2024-05-09,207,35,9,1759.26
299,2024-01-08,89,50,4,1674.76
300,2024-03-04,17,117,1,1836.46
